A列,B列,C列,D列,E列
id,term,definition,category,relations
G001,言語主権,自国の言語や文化を基盤にAIを設計・運用する力。,領域,"翻訳税, デジタル植民地主義"
G002,翻訳税,AIが日本語を英語に変換して処理する過程でニュアンスが削がれる現象。,現象,"言語主権, 表現の均質化"
G003,AIを教える,教師データやアノテーションを通じてAIに世界観や価値観を注入する営み。,行為,"教師データ, データ建築家"
G004,AIに教えられる,AIから一方的に答えを受け取る状態。外部で作られた世界観に従属することを意味する。,状態,"エコーチェンバー, 静かな敗戦"
G005,表現の均質化,英語圏の価値観や物語構造に引きずられ、独自の表現が薄まってしまうこと。,現象,"翻訳税, 暗黙知の喪失"
G006,エコーチェンバー,似た答えや意見だけが返ってくる状態。多様な視点が減り、新しい発想が出にくくなる。,現象,"AIに教えられる, 表現の均質化"
G007,暗黙知の喪失,言葉にしづらい経験や知恵（職人技、阿吽の呼吸）が失われること。,現象,"表現の均質化, スキンヘッドの誤謬"
G008,スキンヘッドの誤謬,AIが文脈を理解できずに大きな誤解を生むことを象徴した比喩。,比喩,"暗黙知の喪失, 借家人 vs 建築家"
G009,借家人 vs 建築家,外部設計に依存する「借家人」と、自前で設計する「建築家」の対比。,比喩,"データ建築家, 静かな敗戦"
G010,静かな敗戦,誰にも気づかれないうちに文化的・知的な独立を失ってしまう危機の比喩。,比喩,"言語主権, AIに教えられる"
G011,データ建築家,自分たちの文化や価値観を反映したデータ基盤を設計する人。,役割,"AIを教える, 借家人 vs 建築家"
G012,"Garbage In, Garbage Out (GIGO)",入力データが悪ければ出力も悪くなるという原則。,原則,"教師データ, AIを教える"